NBA,,Regular Season,,,,Playoffs,,
Season,Team,W - L,%,Standing,,W - L,%,Performance
2022-23,Knicks,47-35,0.573,"5th,",East Conference,6-5,0.545,Lost East Conf Semis
2021-22,Knicks,37-45,0.451,"11th,",East Conference,-,-,DNQ
2020-21,Knicks,41-31,0.569,"4th,",East Conference,1-4,0.2,Lost East Conf 1st Rd
2019-20,Knicks,21-45,0.318,"12th,",East Conference,-,-,DNQ
2018-19,Knicks,17-65,0.207,"15th,",East Conference,-,-,DNQ
2017-18,Knicks,29-53,0.354,"11th,",East Conference,-,-,DNQ
2016-17,Knicks,31-51,0.378,"12th,",East Conference,-,-,DNQ
2015-16,Knicks,32-50,0.39,"13th,",East Conference,-,-,DNQ
2014-15,Knicks,17-65,0.207,"15th,",East Conference,-,-,DNQ
2013-14,Knicks,37-45,0.451,"9th,",East Conference,-,-,DNQ
2012-13,Knicks,54-28,0.659,"2nd,",East Conference,6-6,0.5,Lost East Conf Semis
Season,Team,W - L,%,Standing,,W - L,%,Performance
,76ers,54-28,0.659,"3rd,",East Conference,7-4,0.636,Lost East Conf Semis
2021-22,76ers,51-31,0.622,"4th,",East Conference,6-6,0.5,Lost East Conf Semis
2020-21,76ers,49-23,0.681,"1st,",East Conference,7-5,0.583,Lost East Conf Semis
2019-20,76ers,43-30,0.589,"6th,",East Conference,0-4,0,Lost East Conf 1st Rd
2018-19,76ers,51-31,0.622,"3rd,",East Conference,7-5,0.583,Lost East Conf Semis
2017-18,76ers,52-30,0.634,"3rd,",East Conference,5-5,0.5,Lost East Conf Semis
2016-17,76ers,28-54,0.341,"14th,",East Conference,-,-,DNQ
2015-16,76ers,10-72,0.122,"15th,",East Conference,-,-,DNQ
2014-15,76ers,18-64,0.22,"14th,",East Conference,-,-,DNQ
2013-14,76ers,19-63,0.232,"14th,",East Conference,-,-,DNQ
2012-13,76ers,34-48,0.415,"9th,",East Conference,-,-,DNQ
NBA,,Regular Season,,,,Playoffs,,
Season,Team,W - L,%,Standing,,W - L,%,Performance
2022-23,Heat,44-38,0.537,"8th,",East Conference,11-4,0.733,Playoffs in progress
2021-22,Heat,53-29,0.646,"1st,",East Conference,11-7,0.611,Lost East Conf Finals
2020-21,Heat,40-32,0.556,"6th,",East Conference,0-4,0,Lost East Conf 1st Rd
2019-20,Heat,44-29,0.603,"5th,",East Conference,14-7,0.667,Lost NBA Finals
2018-19,Heat,39-43,0.476,"10th,",East Conference,-,-,DNQ
2017-18,Heat,44-38,0.537,"6th,",East Conference,1-4,0.2,Lost East Conf 1st Rd
2016-17,Heat,41-41,0.5,"9th,",East Conference,-,-,DNQ
2015-16,Heat,48-34,0.585,"3rd,",East Conference,7-7,0.5,Lost East Conf Semis
2014-15,Heat,37-45,0.451,"10th,",East Conference,-,-,DNQ
2013-14,Heat,54-28,0.659,"2nd,",East Conference,13-7,0.65,Lost NBA Finals
2012-13,Heat,66-16,0.805,"1st,",East Conference,16-7,0.696,NBA Champions
NBA,,Regular Season,,,,Playoffs,,
Season,Team,W - L,%,Standing,,W - L,%,Performance
2022-23,Bulls,40-42,0.488,"10th,",East Conference,-,-,DNQ (lost Play-in)
2021-22,Bulls,46-36,0.561,"6th,",East Conference,1-4,0.2,Lost East Conf 1st Rd
2020-21,Bulls,31-41,0.431,"11th,",East Conference,-,-,DNQ
2019-20,Bulls,22-43,0.338,"11th,",East Conference,-,-,DNQ
2018-19,Bulls,22-60,0.268,"13th,",East Conference,-,-,DNQ
2017-18,Bulls,27-55,0.329,"13th,",East Conference,-,-,DNQ
2016-17,Bulls,41-41,0.5,"8th,",East Conference,2-4,0.333,Lost East Conf 1st Rd
2015-16,Bulls,42-40,0.512,"9th,",East Conference,-,-,DNQ
2014-15,Bulls,50-32,0.61,"3rd,",East Conference,6-6,0.5,Lost East Conf Semis
2013-14,Bulls,48-34,0.585,"4th,",East Conference,1-4,0.2,Lost East Conf 1st Rd
2012-13,Bulls,45-37,0.549,"5th,",East Conference,5-7,0.417,Lost East Conf Semis
NBA,,Regular Season,,,,Playoffs,,
Season,Team,W - L,%,Standing,,W - L,%,Performance
2022-23,Pacers,35-47,0.427,"11th,",East Conference,-,-,DNQ
2021-22,Pacers,25-57,0.305,"13th,",East Conference,-,-,DNQ
2020-21,Pacers,34-38,0.472,"9th,",East Conference,-,-,DNQ (lost Play-in)
2019-20,Pacers,45-28,0.616,"4th,",East Conference,0-4,0,Lost East Conf 1st Rd
2018-19,Pacers,48-34,0.585,"5th,",East Conference,0-4,0,Lost East Conf 1st Rd
2017-18,Pacers,48-34,0.585,"5th,",East Conference,3-4,0.429,Lost East Conf 1st Rd
2016-17,Pacers,42-40,0.512,"7th,",East Conference,0-4,0,Lost East Conf 1st Rd
2015-16,Pacers,45-37,0.549,"7th,",East Conference,3-4,0.429,Lost East Conf 1st Rd
2014-15,Pacers,38-44,0.463,"9th,",East Conference,-,-,DNQ
2013-14,Pacers,56-26,0.683,"1st,",East Conference,10-9,0.526,Lost East Conf Finals
2012-13,Pacers,49-32,0.605,"3rd,",East Conference,11-8,0.579,Lost East Conf Finals
